student_id,gender,grade_level,attendance_pct,study_hours_per_day,math_score,science_score,english_score,history_score,overall_score,performance_tier
STU00089,Male,9,44.4,2.7,67.9,52.2,68.3,53.6,60.4,Low
STU00090,Female,12,76.5,3.3,61.0,56.5,69.8,61.6,61.5,Medium
STU00091,Male,11,96.0,6.1,78.0,64.6,69.6,78.0,72.3,High
STU00092,Male,12,83.2,2.7,59.4,74.8,54.7,69.2,65.0,Medium
STU00093,Male,9,59.9,0.5,58.7,79.2,67.6,65.7,68.0,Low
STU00094,Male,11,77.5,3.7,62.9,60.8,58.4,56.2,60.0,Medium
STU00095,Female,12,59.2,1.0,86.4,63.4,66.5,74.4,73.1,Low
STU00096,Male,11,82.9,2.9,57.4,87.0,67.3,72.0,71.2,Medium
STU00097,Male,11,68.7,2.1,62.5,87.9,45.6,63.1,66.9,Medium
STU00098,Female,12,81.3,3.7,64.5,68.3,66.0,68.1,66.7,Medium
STU00099,Male,11,98.3,6.4,58.3,51.3,67.2,65.2,59.4,High
STU00100,Female,9,100.0,7.4,62.0,70.4,61.4,60.7,64.1,High
STU00101,Female,11,89.8,7.0,59.2,64.9,67.1,62.0,63.0,High
STU00102,Female,12,68.7,2.9,68.4,64.8,64.4,69.0,66.6,Medium
STU00103,Male,10,80.5,3.6,72.1,48.3,75.6,67.7,64.8,Medium
STU00104,Male,9,70.3,3.7,52.5,74.1,59.2,70.9,64.0,Medium
STU00105,Male,10,75.7,1.2,66.5,62.0,54.4,66.7,62.8,Low
STU00106,Male,12,92.9,6.6,66.3,59.8,59.2,63.2,62.3,High
STU00107,Female,12,61.2,2.0,53.5,74.3,50.9,70.6,62.6,Medium
STU00108,Female,9,53.3,2.3,55.3,60.6,64.0,59.5,59.5,Low
STU00109,Female,10,88.4,5.4,64.5,64.9,69.0,69.6,66.5,High
STU00110,Male,9,95.2,5.7,75.6,68.7,62.8,66.5,69.1,High
STU00111,Male,12,82.2,5.2,58.3,66.4,45.7,66.2,59.8,Medium
STU00112,Female,12,92.2,5.9,61.8,68.7,63.3,55.5,62.9,High
STU00113,Female,9,56.6,1.1,53.3,86.9,54.3,65.4,66.0,Low
STU00114,Female,9,36.3,0.5,80.6,79.2,62.8,74.1,75.3,Low
STU00115,Female,11,73.5,4.1,59.9,84.5,63.2,48.7,65.7,Medium
STU00116,Female,12,69.9,2.4,59.5,66.8,61.0,77.6,65.6,Low
STU00117,Male,11,43.6,1.9,49.6,60.9,70.1,56.9,58.6,Low
STU00118,Female,12,86.3,7.5,67.7,67.0,51.7,73.5,65.4,High
STU00119,Male,10,52.2,1.3,71.0,70.1,67.7,65.6,69.0,Low
STU00120,Female,12,64.7,5.4,51.4,59.3,68.7,70.0,61.0,Medium
STU00121,Female,9,52.3,0.8,62.3,66.6,51.3,65.5,62.0,Low
STU00122,Male,12,73.2,1.1,51.7,71.1,44.2,71.3,59.9,Low
STU00123,Male,12,70.9,3.3,79.4,51.2,65.6,48.5,62.0,Medium
STU00124,Male,11,85.2,7.6,61.8,70.0,74.8,61.8,66.9,High
STU00125,Male,9,74.3,5.4,77.9,60.5,73.5,72.5,70.7,High
STU00126,Female,9,77.2,5.3,74.2,58.2,58.4,79.3,67.3,Medium
STU00127,Male,12,50.1,0.9,62.5,62.8,69.5,65.7,64.6,Low
STU00128,Female,12,61.2,1.0,63.0,65.3,70.5,62.4,65.1,Low
STU00129,Female,10,81.9,6.1,64.7,62.6,68.4,69.2,65.7,High
STU00130,Female,11,67.3,3.3,60.8,50.0,60.7,72.7,59.9,Medium
STU00131,Male,10,81.8,5.0,68.3,62.5,65.7,81.9,68.8,Medium
STU00132,Male,10,97.5,7.2,67.2,65.7,63.9,80.0,68.6,High
STU00133,Female,9,97.1,6.6,70.2,61.6,63.5,67.1,65.7,High
STU00134,Female,10,63.8,4.2,74.8,55.5,60.4,58.1,62.8,Medium
STU00135,Female,9,56.1,0.5,61.3,68.5,64.3,64.7,64.7,Low
STU00136,Male,10,72.2,4.8,67.4,73.8,75.2,49.6,67.3,Medium
STU00137,Male,9,65.1,3.7,52.9,56.2,51.0,54.4,53.8,Medium
STU00138,Male,11,79.6,5.0,78.2,58.3,70.2,67.8,68.6,Medium
STU00139,Male,11,82.4,3.6,36.9,79.9,59.7,48.4,56.7,Medium
STU00140,Female,12,50.1,0.7,70.5,74.8,61.5,63.7,68.6,Low
STU00141,Male,9,65.6,3.7,58.6,68.1,59.3,63.7,62.6,Low
STU00142,Male,9,56.7,3.3,71.8,68.3,62.8,64.3,67.4,Medium
STU00143,Female,9,64.4,4.0,69.4,72.4,61.6,68.3,68.5,Medium
STU00144,Female,12,85.3,4.6,54.3,71.2,46.5,63.0,59.6,Medium
STU00145,Male,12,73.2,4.7,77.0,66.0,69.8,57.9,68.4,Medium
STU00146,Male,10,93.9,4.4,65.9,60.5,53.8,62.8,61.2,High
STU00147,Male,9,69.4,2.1,56.8,81.7,60.0,69.6,67.5,Medium
STU00148,Male,11,67.6,4.2,77.0,76.3,69.0,53.8,70.6,Medium
STU00149,Female,12,83.5,7.2,60.6,59.6,66.0,86.8,66.6,High
STU00150,Female,10,72.0,5.7,51.8,66.9,55.6,58.2,58.4,Medium
STU00151,Male,11,75.5,1.9,82.8,68.1,60.4,80.0,73.4,Low
STU00152,Male,12,84.1,8.1,67.4,66.0,62.2,59.0,64.3,High
STU00153,Female,9,87.9,7.4,49.8,58.3,65.1,61.8,57.8,High
STU00154,Male,12,78.4,2.5,81.4,70.0,78.4,73.5,75.8,Medium
STU00155,Male,9,66.2,3.0,66.4,72.6,66.4,52.2,65.4,Low
STU00156,Female,11,92.3,7.5,60.9,70.2,57.1,75.5,65.8,High
STU00157,Male,11,71.9,3.7,48.2,59.9,59.7,67.8,57.9,Medium
STU00158,Female,11,57.3,1.4,65.1,73.8,44.6,70.4,64.7,Low
STU00159,Male,9,90.9,4.6,73.5,59.5,65.0,73.5,67.6,High
STU00160,Male,12,76.1,4.5,70.5,73.4,70.7,59.5,69.2,Medium
STU00161,Male,12,76.1,3.8,61.2,86.8,51.4,59.5,66.6,Medium
STU00162,Male,11,69.9,3.3,66.4,54.9,64.9,62.1,61.8,Medium
STU00163,Male,12,70.1,5.4,75.7,74.9,58.9,83.1,73.6,Medium
STU00164,Male,11,81.8,3.9,65.0,62.5,70.3,67.2,65.8,Medium
STU00165,Female,11,85.6,4.0,56.1,63.3,58.1,55.2,58.5,High
STU00166,Male,9,54.4,2.6,72.9,62.0,66.5,79.3,69.6,Low
STU00167,Male,11,81.3,7.3,61.9,77.6,71.4,67.5,69.6,Medium
STU00168,Male,9,94.6,5.7,71.5,79.2,71.4,64.2,72.3,High
STU00169,Female,12,90.2,8.2,66.3,54.4,67.7,78.7,65.5,High
STU00170,Female,11,73.6,2.5,72.8,60.2,64.4,82.6,69.3,Medium
STU00171,Male,12,84.7,4.7,69.6,61.6,65.0,43.5,61.1,Medium
STU00172,Female,9,93.4,7.5,78.5,69.3,63.8,63.9,69.9,High
STU00173,Male,11,78.0,3.4,73.7,61.1,67.4,68.5,67.6,Medium
STU00174,Female,10,86.0,6.5,62.8,70.1,65.9,66.1,66.3,High
STU00175,Male,9,69.7,6.3,48.1,88.7,50.8,68.7,64.9,Medium
STU00176,Female,9,90.8,6.4,68.5,70.0,68.3,75.5,70.3,High
STU00177,Male,9,68.6,1.7,70.4,68.3,66.3,56.1,66.1,Medium
STU00178,Female,10,81.4,6.4,58.5,70.9,67.2,72.4,66.7,Medium
STU00179,Male,9,57.4,2.3,76.1,81.2,47.5,58.3,68.4,Low
STU00180,Female,9,96.7,4.0,54.2,53.6,74.2,58.3,58.8,High
STU00181,Female,9,76.1,2.7,64.3,53.9,64.6,74.4,63.3,Medium
STU00182,Male,11,95.7,8.9,82.2,76.2,57.5,80.7,75.2,High
STU00183,Male,9,41.9,1.2,77.1,76.7,60.7,65.8,71.4,Low
STU00184,Male,10,42.5,1.7,53.3,64.4,48.2,57.7,56.5,Low
STU00185,Male,9,78.4,3.8,45.9,71.9,65.8,76.2,63.7,Medium
STU00186,Female,10,73.4,4.3,53.9,84.7,64.5,59.3,66.3,Medium
STU00187,Male,12,65.7,0.8,65.4,51.7,58.1,66.1,60.0,Low
STU00188,Male,10,74.1,1.9,55.7,72.5,61.8,66.9,64.2,Medium
STU00189,Female,11,75.1,3.3,59.9,71.2,50.3,70.5,63.5,Medium
STU00190,Male,12,87.4,7.5,64.2,68.6,57.8,61.5,63.7,High
STU00191,Female,12,84.7,6.7,56.6,65.2,65.3,74.5,64.5,High
STU00192,Male,10,62.0,4.0,64.8,59.4,57.5,74.1,63.6,Low
STU00193,Male,9,63.3,0.5,63.2,56.6,50.0,81.6,62.3,Low
STU00194,Male,12,69.6,4.0,56.4,71.7,66.1,79.3,67.5,Medium
STU00195,Male,12,72.3,4.8,66.6,57.2,74.8,54.8,63.1,Medium
STU00196,Male,10,86.4,4.2,64.5,73.6,75.6,54.5,67.4,Medium
STU00197,Female,9,79.6,5.4,57.1,77.7,62.1,54.3,63.7,Medium
STU00198,Male,11,50.6,0.5,66.5,74.8,71.0,60.2,68.6,Low
STU00199,Female,9,56.9,1.2,56.4,53.5,60.3,82.7,61.6,Low
STU00200,Female,12,47.2,3.6,69.7,72.2,74.7,63.9,70.3,Low
STU00201,Male,11,67.7,6.0,74.6,68.1,66.1,70.3,70.1,Medium
STU00202,Male,9,86.6,5.4,68.2,67.9,58.5,77.2,68.0,High
STU00203,Female,9,87.6,7.0,59.6,66.3,67.7,62.0,63.7,High
STU00204,Female,9,55.7,1.5,67.0,66.7,75.8,56.5,66.6,Low
STU00205,Male,9,82.6,5.3,60.8,81.8,78.8,62.9,71.1,Medium
STU00206,Female,9,80.1,6.8,61.7,61.4,55.5,64.6,61.0,High
STU00207,Female,12,89.8,4.3,59.9,57.4,63.6,79.3,63.8,High
STU00208,Female,12,67.9,4.1,54.4,55.2,62.6,64.1,58.2,Medium
STU00209,Male,9,95.5,5.4,64.0,62.6,56.5,66.3,62.5,High
STU00210,Male,12,92.1,4.9,61.6,83.1,68.8,64.2,70.0,High
STU00211,Male,10,76.0,5.2,63.9,70.6,66.4,59.3,65.5,Medium
STU00212,Female,9,73.4,3.4,79.2,77.9,64.6,59.6,72.0,Medium
STU00213,Male,12,77.9,2.4,68.8,62.7,61.1,60.5,63.8,Medium
STU00214,Female,11,83.7,6.6,67.0,66.4,56.8,72.0,65.8,High
STU00215,Male,12,81.5,3.6,63.9,65.8,72.3,66.5,66.7,Medium
STU00216,Male,11,89.2,6.4,57.5,51.7,58.0,54.4,55.2,High
STU00217,Male,10,59.3,3.2,62.0,74.7,73.8,65.9,69.0,Medium
STU00218,Female,10,78.5,2.6,53.2,72.4,74.3,80.2,68.6,Medium
STU00219,Male,12,88.8,3.6,70.4,63.5,51.0,80.1,66.4,Medium
STU00220,Male,12,42.0,2.2,66.7,65.9,62.0,69.5,66.1,Low
STU00221,Female,11,80.5,4.2,62.3,65.9,65.9,83.9,68.4,Medium
STU00222,Male,11,73.7,2.8,61.2,61.2,68.7,70.7,64.6,Medium
STU00223,Female,9,92.1,5.7,64.6,68.4,59.8,60.7,64.0,High
STU00224,Male,12,81.4,3.8,57.0,78.8,68.2,70.3,68.4,Medium
STU00225,Male,11,88.7,1.0,56.4,88.3,61.3,65.0,68.7,Medium
STU00226,Male,12,94.4,7.3,59.4,80.0,52.8,62.6,64.9,High
STU00227,Male,9,61.5,1.8,85.3,64.6,75.3,78.9,75.8,Low
STU00228,Male,9,67.5,3.7,68.0,70.4,54.5,74.0,67.2,Medium
STU00229,Male,12,43.4,2.3,59.3,82.0,50.8,68.7,66.3,Low
STU00230,Female,11,82.0,3.7,56.6,74.9,41.4,61.2,60.0,Medium
STU00231,Female,10,52.6,1.6,61.6,62.4,56.1,67.0,61.8,Low
STU00232,Male,9,72.7,4.7,69.4,66.2,64.1,75.6,68.6,Medium
STU00233,Female,11,95.0,4.4,63.6,66.5,61.2,58.8,63.0,Medium
STU00234,Male,10,83.6,3.6,69.2,60.7,71.8,81.5,69.6,Medium
STU00235,Male,10,82.3,7.7,63.7,61.5,60.5,69.3,63.5,High
STU00236,Female,11,63.3,5.3,51.3,68.4,58.2,68.7,61.3,Medium
STU00237,Female,12,69.3,5.5,62.4,74.1,54.4,67.8,65.4,Medium
STU00238,Male,12,93.0,7.7,68.2,69.5,62.5,79.3,69.7,High
STU00239,Male,9,67.0,5.5,67.3,59.0,63.7,57.9,62.2,Medium
STU00240,Female,9,91.7,7.7,65.3,69.8,58.4,61.4,64.5,High
STU00241,Male,11,65.7,1.9,61.1,67.1,80.0,57.9,66.0,Low
STU00242,Female,11,59.9,2.6,69.1,56.0,64.6,88.7,68.2,Low
STU00243,Male,9,56.5,3.0,61.7,59.0,56.6,64.5,60.4,Low
STU00244,Female,12,75.0,4.3,79.2,58.9,64.3,65.2,67.3,Medium
STU00245,Male,11,95.4,6.3,71.0,67.3,64.9,69.5,68.4,High
STU00246,Male,11,55.9,2.7,65.5,57.2,67.9,77.5,65.9,Low
STU00247,Female,10,79.6,4.8,62.0,68.1,53.0,63.7,62.4,Medium
STU00248,Female,9,62.4,2.1,58.0,65.9,76.0,63.8,65.1,Low
STU00249,Female,10,42.3,2.1,66.1,78.2,72.2,71.2,72.0,Low
STU00250,Male,12,56.7,1.1,71.9,64.1,71.0,67.0,68.4,Low
STU00251,Female,9,73.9,6.6,67.0,57.2,63.2,64.7,62.8,Medium
STU00252,Male,10,79.1,3.0,60.2,75.2,82.6,60.1,69.2,Medium
STU00253,Female,11,65.7,1.0,73.1,71.9,67.8,74.7,72.0,Low
STU00254,Female,10,76.2,6.6,52.6,60.9,57.7,74.4,60.5,Medium
STU00255,Female,11,94.6,9.1,55.3,63.9,63.0,68.6,62.1,High
STU00256,Female,10,60.8,6.5,73.2,87.6,65.1,60.5,73.4,Medium
STU00257,Male,9,67.7,3.2,61.6,71.5,76.9,79.2,71.2,Low
STU00258,Male,10,85.1,4.9,75.9,69.4,77.3,71.9,73.4,Medium
STU00259,Female,9,82.4,4.1,55.8,65.7,79.3,56.0,63.5,Medium
STU00260,Female,11,86.2,7.0,62.2,73.8,76.6,68.4,69.8,High
STU00261,Male,11,89.0,3.6,69.1,73.1,68.2,82.9,72.9,Medium
STU00262,Female,12,66.9,2.7,49.5,56.2,49.8,64.4,54.6,Low
STU00263,Female,10,94.0,6.3,62.3,55.3,72.9,71.9,64.2,High
STU00264,Male,10,57.5,3.4,69.3,56.7,79.8,67.4,67.2,Medium
STU00265,Female,11,56.3,2.8,67.7,53.5,67.3,68.3,63.5,Low
STU00266,Female,12,81.5,3.0,62.8,69.1,58.8,79.4,67.2,Medium
STU00267,Female,10,69.9,5.7,55.7,59.9,75.3,66.9,63.1,Medium
STU00268,Male,11,78.7,6.1,69.0,69.8,49.1,75.8,66.6,Medium
STU00269,Male,9,88.2,4.6,65.3,59.7,63.5,82.3,66.7,Medium
STU00270,Male,12,66.2,3.0,62.1,77.8,58.0,64.6,66.5,Medium
STU00271,Male,11,67.2,2.7,64.3,73.4,57.4,73.8,67.6,Low
STU00272,Female,11,57.4,1.5,62.9,91.4,65.2,64.9,72.3,Low
STU00273,Female,10,62.9,1.5,62.1,59.9,76.3,63.6,64.6,Low
STU00274,Female,12,34.8,1.3,57.7,64.2,59.9,66.4,61.8,Low
STU00275,Male,9,72.7,6.2,56.2,80.8,75.7,43.4,64.9,Medium
STU00276,Male,10,71.9,1.9,56.9,56.8,73.1,74.1,63.6,Medium
STU00277,Male,11,60.9,2.0,73.0,65.2,56.8,75.6,67.9,Low
STU00278,Female,10,79.2,3.9,74.9,69.3,52.2,57.8,65.3,Medium
STU00279,Male,12,82.4,4.7,68.0,63.0,84.3,58.9,67.9,Medium
STU00280,Male,10,49.8,1.8,70.4,62.3,76.8,66.9,68.6,Low
STU00281,Female,9,48.9,2.7,57.0,62.8,75.0,76.0,66.1,Low
STU00282,Female,10,85.0,3.5,68.9,64.1,62.0,79.2,68.1,Medium
STU00283,Male,11,71.0,1.9,61.8,55.2,73.1,56.3,61.0,Medium
STU00284,Male,9,90.7,7.1,60.0,64.5,65.3,72.8,65.0,High
STU00285,Female,9,72.8,3.0,55.2,68.1,68.2,54.5,61.5,Medium
STU00286,Male,11,83.4,6.0,66.1,63.6,47.2,69.8,62.3,High
STU00287,Female,9,81.6,3.7,84.3,54.4,42.4,61.7,62.4,Medium
STU00288,Male,10,77.1,4.2,49.4,69.7,62.4,75.0,63.2,Medium
STU00289,Female,12,71.1,3.8,53.7,56.5,79.8,70.4,63.1,Medium
STU00290,Female,11,80.4,2.5,64.8,74.0,58.6,73.5,68.1,Medium
STU00291,Female,9,93.0,5.1,57.9,79.3,55.2,75.5,67.3,High
STU00292,Male,10,87.9,6.2,79.5,66.5,60.9,73.9,70.8,High
STU00293,Male,12,60.0,0.5,60.0,56.2,75.0,72.8,64.4,Low
STU00294,Female,11,78.7,4.1,66.8,61.9,64.2,77.0,66.9,Medium
STU00295,Male,12,90.5,6.1,59.9,66.8,62.8,74.6,65.5,High
STU00296,Female,10,72.1,7.6,71.4,81.1,58.9,61.1,69.8,Medium
STU00297,Male,9,50.1,2.7,64.8,67.4,75.3,66.5,68.0,Low
STU00298,Female,9,100.0,9.6,62.1,68.1,62.2,60.6,63.6,High
STU00299,Male,11,69.8,3.5,69.1,70.5,63.9,73.6,69.4,Medium
STU00300,Male,9,90.4,3.2,66.4,62.7,70.5,67.7,66.4,High
STU00301,Male,12,70.8,5.2,75.2,74.4,68.3,60.7,70.7,High
STU00302,Male,11,75.1,5.7,57.2,63.5,72.6,75.5,65.8,Medium
STU00303,Female,10,76.7,4.3,70.5,83.4,64.8,73.0,73.7,Medium
STU00304,Female,11,83.4,1.0,70.0,60.8,58.1,56.1,62.1,Medium
STU00305,Female,10,71.2,2.5,53.9,80.4,76.5,66.2,68.8,Medium
STU00306,Male,9,77.2,1.3,60.5,60.1,53.8,61.3,59.2,Low
STU00307,Male,10,75.6,3.0,70.1,69.0,65.3,55.9,66.0,Medium
STU00308,Female,12,77.5,2.0,75.5,67.7,73.6,75.3,72.7,Medium
STU00309,Male,10,67.1,1.3,71.1,69.7,63.4,80.6,71.0,Low
STU00310,Female,10,86.8,1.0,51.9,51.2,70.8,71.7,59.4,Medium
STU00311,Female,9,55.1,3.1,69.6,74.4,61.4,70.4,69.6,Medium
STU00312,Female,11,93.2,7.0,65.1,58.0,54.7,69.4,61.7,High
STU00313,Female,10,86.1,6.9,65.1,54.7,69.8,82.3,66.4,High
STU00314,Female,10,60.3,2.5,62.2,74.7,64.7,45.6,63.1,Low
STU00315,Male,9,57.1,2.5,64.1,66.9,59.6,60.2,63.3,Low
STU00316,Female,9,85.3,5.3,61.3,71.2,60.5,55.0,62.8,Medium
STU00317,Male,10,66.8,3.7,73.2,60.2,64.1,79.7,68.8,Medium
STU00318,Female,11,79.8,6.3,67.0,65.5,67.6,57.9,64.8,High
STU00319,Male,9,88.9,7.3,67.5,87.8,64.8,64.2,72.4,High
STU00320,Male,12,78.3,2.7,68.5,75.0,48.3,56.4,64.0,Medium
STU00321,Male,10,80.1,2.0,63.2,53.0,55.4,58.6,57.7,Medium
STU00322,Male,10,82.1,4.9,72.1,74.8,73.6,60.9,71.0,Medium
STU00323,Female,10,81.5,1.9,60.8,64.0,55.1,77.8,64.0,Medium
STU00324,Female,12,77.0,5.0,85.7,61.0,59.1,63.9,68.6,Medium
STU00325,Male,12,58.3,1.5,61.8,64.3,64.9,61.3,63.1,Low
STU00326,Female,11,66.3,3.6,76.1,71.1,71.0,64.5,71.3,Medium
STU00327,Male,12,69.0,3.2,73.0,70.8,63.1,62.9,68.3,Medium
STU00328,Male,11,82.2,5.7,77.8,63.2,54.7,69.7,67.2,Medium
STU00329,Male,10,81.7,4.9,65.8,59.5,61.4,73.8,64.6,Medium
STU00330,Male,10,93.7,7.2,64.4,68.7,47.5,62.6,62.0,High
STU00331,Female,9,70.9,3.8,78.1,45.9,66.6,61.1,62.7,Medium
STU00332,Male,11,50.7,1.1,72.2,65.5,71.3,64.6,68.5,Low
STU00333,Female,10,79.8,6.6,63.2,52.0,71.6,62.4,61.4,High
STU00334,Female,9,87.1,7.9,49.2,66.9,54.3,75.3,60.8,High
STU00335,Female,12,95.3,6.9,70.3,79.3,67.6,74.3,73.3,High
STU00336,Female,12,93.9,8.4,70.9,62.1,55.4,65.3,64.0,High
